experiment,speakers,noise,samples,layer_size,accuracy,recall,fp_hour,duration_sec
p3_spk100_clean_smp7500_lay192,100,clean,7500,192,0.7950000166893005,0.593999981880188,1.4159291982650757,3
p3_spk150_clean_smp7500_lay192,150,clean,7500,192,0.781333327293396,0.5640000104904175,0.17699114978313446,696
p3_spk100_noise_smp5000_lay192,100,noise,5000,192,0.781333327293396,0.5640000104904175,0.17699114978313446,203
p3_spk100_noise_smp7500_lay128,100,noise,7500,128,0.781333327293396,0.5640000104904175,0.17699114978313446,2
p3_spk100_noise_smp7500_lay192,100,noise,7500,192,0.781333327293396,0.5640000104904175,0.17699114978313446,2
p3_spk150_clean_smp5000_lay128,150,clean,5000,128,0.781333327293396,0.5640000104904175,0.17699114978313446,2
p3_spk150_clean_smp5000_lay192,150,clean,5000,192,0.781333327293396,0.5640000104904175,0.17699114978313446,2
p3_spk150_clean_smp7500_lay128,150,clean,7500,128,0.874666690826416,0.753333330154419,0.3539822995662689,450
p3_spk100_clean_smp7500_lay192,100,clean,7500,192,0.8016666769981384,0.6073333621025085,3.7168140411376953,807
p3_spk100_noise_smp5000_lay128,100,noise,5000,128,0.7574999928474426,0.5270000100135803,2.2123894691467285,642
p3_spk150_noise_smp5000_lay128,150,noise,5000,128,0.703499972820282,0.40799999237060547,0.8849557638168335,635
p3_spk150_clean_smp7500_lay192,150,clean,7500,192,0.7796666622161865,0.5619999766349792,0.08849557489156723,454
p3_spk100_noise_smp5000_lay128,100,noise,5000,128,0.765500009059906,0.5490000247955322,2.4778761863708496,459
p3_spk100_noise_smp5000_lay192,100,noise,5000,192,0.8255000114440918,0.6589999794960022,3.3628318309783936,458
p3_spk100_noise_smp7500_lay128,100,noise,7500,128,0.8255000114440918,0.6589999794960022,3.3628318309783936,3
p3_spk100_noise_smp7500_lay192,100,noise,7500,192,0.8255000114440918,0.6589999794960022,3.3628318309783936,3
p3_spk150_clean_smp5000_lay128,150,clean,5000,128,0.8255000114440918,0.6589999794960022,3.3628318309783936,4
p3_spk150_clean_smp5000_lay192,150,clean,5000,192,0.8255000114440918,0.6589999794960022,3.3628318309783936,3
p3_spk150_noise_smp5000_lay192,150,noise,5000,192,0.8125,0.6370000243186951,0.08849557489156723,622
p3_spk150_noise_smp5000_lay128,150,noise,5000,128,0.7110000252723694,0.4230000078678131,1.2389380931854248,434
p3_spk100_noise_smp5000_lay192,100,noise,5000,192,0.828000009059906,0.6620000004768372,2.5663716793060303,434
p3_spk100_noise_smp7500_lay128,100,noise,7500,128,0.828000009059906,0.6620000004768372,2.5663716793060303,3
p3_spk100_noise_smp7500_lay192,100,noise,7500,192,0.828000009059906,0.6620000004768372,2.5663716793060303,3
p3_spk150_clean_smp5000_lay128,150,clean,5000,128,0.828000009059906,0.6620000004768372,2.5663716793060303,3
p3_spk150_clean_smp5000_lay192,150,clean,5000,192,0.828000009059906,0.6620000004768372,2.5663716793060303,4
p3_spk150_clean_smp7500_lay128,150,clean,7500,128,0.8539999723434448,0.7126666903495789,0.2654867172241211,430
p3_spk150_noise_smp5000_lay192,150,noise,5000,192,0.8059999942779541,0.6299999952316284,0.17699114978313446,453
p3_spk150_noise_smp7500_lay128,150,noise,7500,128,0.7316666841506958,0.476666659116745,4.690265655517578,721
p3_spk150_clean_smp7500_lay128,150,clean,7500,128,0.8600000143051147,0.7253333330154419,0.3539822995662689,470
p3_spk150_clean_smp7500_lay192,150,clean,7500,192,0.777999997138977,0.5573333501815796,0.08849557489156723,464
p3_spk150_noise_smp7500_lay128,150,noise,7500,128,0.734666645526886,0.4819999933242798,2.4778761863708496,441
p3_spk150_clean_smp7500_lay192,150,clean,7500,192,0.7680000066757202,0.5379999876022339,0.08849557489156723,452
p3_spk150_noise_smp5000_lay128,150,noise,5000,128,0.7099999785423279,0.42100000381469727,1.0619468688964844,452
p3_spk150_noise_smp7500_lay192,150,noise,7500,192,0.8569999933242798,0.718666672706604,1.9469026327133179,710
p3_spk150_noise_smp7500_lay192,150,noise,7500,192,0.8576666712760925,0.7193333506584167,1.8584070205688477,443
p3_spk200_clean_smp5000_lay128,200,clean,5000,128,0.8576666712760925,0.7193333506584167,1.8584070205688477,3
p3_spk150_noise_smp5000_lay128,150,noise,5000,128,0.7020000219345093,0.4050000011920929,0.7964601516723633,430
p3_spk150_noise_smp5000_lay192,150,noise,5000,192,0.8065000176429749,0.6209999918937683,0.17699114978313446,425
p3_spk200_clean_smp5000_lay128,200,clean,5000,128,0.9355000257492065,0.8769999742507935,5.663716793060303,629
p3_spk150_noise_smp5000_lay192,150,noise,5000,192,0.8090000152587891,0.6349999904632568,0.2654867172241211,464
p3_spk150_noise_smp7500_lay128,150,noise,7500,128,0.7440000176429749,0.5019999742507935,1.9469026327133179,464
p3_spk200_clean_smp5000_lay192,200,clean,5000,192,0.8669999837875366,0.7390000224113464,0.44247788190841675,625
p3_spk200_clean_smp5000_lay192,200,clean,5000,192,0.8679999709129333,0.7379999756813049,0.3539822995662689,455
